"Word","Length","Freq_KF","Freq_HAL","BG_Freq_By_Pos"
"workable","8","9","1678","1503"
"workbook","8","NULL","558","1253"
"worker's","8","4","484","2930"
"workings","8","6","1486","3035"
"workouts","8","3","683","1433"
"workroom","8","NULL","32","1342"
"workshop","8","24","15377","1441"
"wormhole","8","NULL","2001","1641"
"wormwood","8","NULL","1187","1277"
"worrying","8","5","3092","3040"
"worsened","8","1","334","3221"
"wouldn't","8","129","87980","920"
"wounding","8","1","313","3162"
"wrangled","8","2","20","2822"
"wrangler","8","6","788","2562"
"wrappers","8","1","814","2524"
"wrapping","8","6","1681","3073"
"wrathful","8","1","43","1738"
"wreathed","8","1","33","2657"
"wreckage","8","2","452","1560"
"wrecking","8","5","406","3168"
"wrenched","8","2","168","2411"
"wrenches","8","2","341","2219"
"wrestler","8","NULL","1141","2536"
"wrestles","8","1","90","2604"
"wretched","8","7","3585","2226"
"wrinkled","8","12","560","2495"
"wrinkles","8","7","586","2303"
"writer's","8","1","2003","3174"
"writhing","8","6","817","3074"
"writings","8","15","5891","3449"
"wrongful","8","1","560","1385"
"Xavier's","8","1","132","2098"
"yachters","8","1","2","2360"
"yachting","8","2","90","2975"
"yearbook","8","2","880","1493"
"yearling","8","NULL","101","3544"
"yearlong","8","NULL","16","2527"
"yearning","8","7","567","3313"
"yellowed","8","1","264","2289"
"yielding","8","9","926","2284"
"yodeling","8","2","47","3136"
"Yorker's","8","1","16","2803"
"Yorktown","8","2","532","1080"
"Yosemite","8","3","617","1735"
"youngest","8","13","1536","2153"
"youngish","8","2","63","1463"
"yourself","8","67","84061","1217"
"youthful","8","12","828","1196"
"Yugoslav","8","7","3395","524"
"yuletide","8","NULL","40","1585"
"zealotry","8","NULL","62","1607"
"zeppelin","8","NULL","1526","2196"
"Zimbabwe","8","NULL","1591","551"
"zodiacal","8","3","109","1256"
"where'll","8","NULL","5","1749"
"where're","8","1","23","1815"
"where've","8","NULL","41","1692"
"wherever","8","27","6480","2304"
"whinnied","8","2","10","2270"
"whiplash","8","1","226","1334"
"whipping","8","7","1603","2666"
"whirling","8","10","2788","2981"
"whirring","8","2","174","2952"
"whiskers","8","3","437","2046"
"whisking","8","1","55","2574"
"whispers","8","4","1256","2162"
"whistled","8","6","283","2462"
"whitecap","8","NULL","21","1916"
"whitened","8","3","152","3177"
"whizzing","8","1","140","2344"
"whodunit","8","NULL","55","1337"
"whomever","8","NULL","1603","1633"
"whooping","8","2","370","2613"
"whoppers","8","1","125","2169"
"whopping","8","1","747","2718"
"wickedly","8","2","304","2063"
"wiggling","8","2","520","2934"
"wigmaker","8","2","1","1367"
"wildfire","8","NULL","794","1048"
"wildfowl","8","NULL","21","753"
"wildlife","8","19","4582","1320"
"wildness","8","1","84","1850"
"Willie's","8","4","302","2090"
"Wilson's","8","3","622","1475"
"windfall","8","2","206","1787"
"windless","8","1","29","3035"
"windmill","8","1","302","1706"
"windsock","8","NULL","70","1532"
"windward","8","NULL","195","1687"
"wineskin","8","NULL","1","2460"
"wingback","8","1","5","1445"
"wingless","8","NULL","34","2846"
"wingspan","8","NULL","161","1638"
"winnings","8","3","601","3076"
"Winnipeg","8","1","3231","1275"
"wintered","8","2","12","4365"
"wireless","8","NULL","6503","3015"
"wireworm","8","NULL","0","1399"
"wishbone","8","NULL","108","1887"
"wisteria","8","NULL","71","4364"
"withdraw","8","8","5353","1126"
"withdrew","8","9","1455","1174"
"withered","8","2","203","3442"
"withheld","8","8","1214","1263"
"withhold","8","2","851","1018"
"wizardry","8","NULL","709","758"
"wobbling","8","1","165","2739"
"Wolfgang","8","1","2775","1875"
"womanish","8","NULL","7","1902"
"womanize","8","NULL","4","1675"
"warbling","8","1","66","3739"
"wardrobe","8","8","826","1709"
"wardroom","8","1","16","1828"
"warhorse","8","NULL","146","2301"
"warnings","8","9","3883","3579"
"warrants","8","5","2025","2789"
"warranty","8","1","12508","2735"
"Warren's","8","1","215","2989"
"warriors","8","7","9041","2555"
"Warsaw's","8","2","13","1856"
"warships","8","2","652","1859"
"washable","8","NULL","240","1466"
"washbowl","8","1","0","1053"
"washings","8","2","82","2907"
"washroom","8","NULL","187","1234"
"wasteful","8","7","1059","2361"
"watchdog","8","3","968","1434"
"watchers","8","2","1148","2777"
"watchful","8","2","282","1514"
"watching","8","76","29939","3188"
"watchman","8","NULL","608","1894"
"watchmen","8","1","395","1977"
"watering","8","4","767","5065"
"Waterloo","8","1","4243","3101"
"waterway","8","2","211","3008"
"Watson's","8","5","210","1801"
"waxworks","8","1","6","782"
"wayfarer","8","NULL","56","1670"
"weakened","8","6","1423","2995"
"weakling","8","NULL","103","3235"
"weakness","8","46","5396","2155"
"weaponry","8","1","3187","1813"
"wearying","8","2","21","3214"
"weathers","8","1","239","2995"
"weddings","8","2","1622","2652"
"weekends","8","7","5103","1541"
"weeklies","8","3","75","1735"
"weighing","8","9","1303","2403"
"weighted","8","4","1685","1828"
"welcomed","8","12","4903","1914"
"welcomes","8","1","1268","1722"
"wellborn","8","NULL","4","1551"
"Welshman","8","NULL","70","1370"
"werewolf","8","NULL","3155","1595"
"Wesleyan","8","3","507","1609"
"Wesley's","8","1","134","1482"
"westerly","8","5","132","3599"
"westward","8","8","378","1841"
"wetlands","8","1","844","1409"
"whatever","8","112","81172","2321"
"wheeling","8","2","647","3347"
"wheezing","8","1","248","2571"
"whenever","8","43","22956","1748"
"vicarage","8","NULL","17","1517"
"vicelike","8","1","1","1561"
"vicinity","8","6","1835","1921"
"victim's","8","4","819","1523"
"Victoria","8","8","7684","1774"
"Victor's","8","1","177","1495"
"victuals","8","1","11","1193"
"Vienna's","8","1","15","942"
"Viennese","8","1","145","1726"
"viewless","8","2","0","2041"
"vigilant","8","2","444","1746"
"vignette","8","1","115","1762"
"vigorous","8","29","1184","1376"
"vineyard","8","2","923","1452"
"villager","8","1","142","2215"
"villages","8","12","3279","2283"
"villains","8","4","1032","2588"
"villainy","8","NULL","61","2500"
"violable","8","NULL","0","1156"
"violated","8","4","4455","2290"
"violates","8","2","2876","2098"
"violence","8","46","19852","1848"
"virginal","8","NULL","240","2362"
"Virginia","8","75","20353","2238"
"virility","8","3","99","2022"
"virology","8","NULL","348","1096"
"virtuous","8","6","603","1193"
"virtuoso","8","3","429","1057"
"virulent","8","1","428","2175"
"visceral","8","4","372","3510"
"viscount","8","3","207","1971"
"viselike","8","1","5","2207"
"vitality","8","17","701","1909"
"vitalize","8","NULL","3","1622"
"visiting","8","36","8123","3924"
"visitors","8","36","4376","2138"
"visually","8","4","1893","1795"
"vitalism","8","NULL","27","1789"
"vitamins","8","10","2558","2048"
"vitreous","8","NULL","54","1577"
"vivacity","8","NULL","12","1224"
"Vivian's","8","1","43","1339"
"vivified","8","1","0","1746"
"vocalism","8","1","9","1565"
"vocalist","8","2","1161","1793"
"vocalize","8","1","78","1398"
"vocation","8","3","473","2023"
"volatile","8","5","1404","2078"
"volcanic","8","2","6637","1651"
"volcanos","8","1","134","1207"
"volition","8","2","455","2481"
"voltages","8","4","1123","1921"
"vomiting","8","3","1320","3538"
"vouchers","8","1","1222","2495"
"vouching","8","1","10","2906"
"waggling","8","1","28","2905"
"Wagner's","8","2","266","2435"
"wainscot","8","NULL","0","1461"
"waitress","8","2","1048","2389"
"wakening","8","1","25","2997"
"walkaway","8","NULL","5","1067"
"walkover","8","1","24","1699"
"walkways","8","1","121","1117"
"walloped","8","1","28","2587"
"wallowed","8","1","28","2634"
"Walter's","8","2","95","3257"
"wandered","8","8","1497","4351"
"wanderer","8","1","723","4091"
"urbanism","8","2","43","1086"
"urbanity","8","NULL","11","1206"
"urbanize","8","NULL","1","919"
"urethane","8","26","237","1867"
"urgently","8","6","1552","1264"
"usefully","8","1","374","613"
"usurious","8","1","26","1029"
"utensils","8","3","412","1000"
"utilized","8","10","2206","1686"
"utilizes","8","4","1225","1494"
"utopians","8","5","22","1056"
"uttering","8","2","241","4293"
"vacation","8","47","9491","2177"
"vacuumed","8","1","96","1659"
"vagabond","8","2","371","1036"
"vagaries","8","1","188","1950"
"validate","8","2","1589","2331"
"validity","8","15","4944","1785"
"valley's","8","1","114","2017"
"valuable","8","45","15458","1261"
"vampires","8","1","3488","1935"
"vanguard","8","3","1631","1615"
"vanished","8","15","1891","2557"
"vanishes","8","1","603","2365"
"vanities","8","1","152","2754"
"vanquish","8","NULL","112","1389"
"vaporize","8","NULL","235","1560"
"vaporous","8","NULL","54","1332"
"variable","8","36","20715","2093"
"variance","8","1","1450","2342"
"varicose","8","NULL","54","2143"
"vascular","8","3","381","1521"
"vaseline","8","NULL","659","2851"
"vaulting","8","3","123","2799"
"vegetate","8","NULL","26","2089"
"vehement","8","2","269","1344"
"vehicles","8","53","9269","1692"
"velocity","8","26","7144","1549"
"vendetta","8","NULL","671","2139"
"venerate","8","NULL","53","3951"
"venereal","8","3","223","3194"
"Venetian","8","6","259","2404"
"vengeful","8","NULL","388","1570"
"venomous","8","2","776","1400"
"ventured","8","5","595","2672"
"venturer","8","NULL","19","2412"
"ventures","8","4","1869","2480"
"veracity","8","3","735","1966"
"verandah","8","1","45","1813"
"verandas","8","1","1","1887"
"verbally","8","5","1123","1597"
"verbatim","8","2","1645","2055"
"verbiage","8","NULL","250","1344"
"verified","8","6","4461","2388"
"vermouth","8","1","62","1469"
"Veronica","8","1","1955","2016"
"versions","8","9","47697","1886"
"vertical","8","16","9471","2651"
"vestment","8","NULL","6","2354"
"veterans","8","16","4652","3388"
"vexation","8","NULL","56","1806"
"vibrancy","8","2","32","1295"
"vibrated","8","1","88","2330"
"vibrator","8","NULL","1095","1537"
"unlovely","8","1","15","1605"
"unmarked","8","1","858","2223"
"unmasked","8","1","211","2120"
"unpaired","8","4","25","2437"
"unneeded","8","1","705","3095"
"unopened","8","1","4632","3243"
"unpadded","8","1","29","2279"
"unplowed","8","2","10","2332"
"unproved","8","1","55","2581"
"unreason","8","1","70","2282"
"unsolder","8","1","57","2323"
"unsolved","8","3","701","2479"
"unrifled","8","1","0","2699"
"unrolled","8","1","75","2798"
"unsaddle","8","NULL","0","1770"
"unsalted","8","2","176","2873"
"unsettle","8","NULL","28","2045"
"unsavory","8","1","251","1652"
"unsealed","8","1","155","3217"
"unseeing","8","NULL","27","3330"
"unseemly","8","1","148","1880"
"unshaved","8","1","17","2488"
"unshaven","8","1","74","2121"
"unsigned","8","3","5776","2741"
"unsloped","8","1","0","2401"
"unsocial","8","NULL","27","2132"
"unspoken","8","3","442","2067"
"unstable","8","8","6034","2693"
"unsteady","8","2","243","2834"
"unstring","8","NULL","12","4430"
"unstrung","8","2","18","3115"
"unsuited","8","1","197","2895"
"untangle","8","NULL","136","2572"
"untapped","8","NULL","954","2614"
"untimely","8","1","381","2341"
"untiring","8","NULL","46","4069"
"untoward","8","1","151","1987"
"unwanted","8","6","3822","2879"
"unveiled","8","3","572","2853"
"unversed","8","NULL","10","3979"
"unvoiced","8","NULL","51","2470"
"unwieldy","8","NULL","284","1394"
"unwisely","8","2","93","1879"
"upgraded","8","1","10336","1650"
"unwonted","8","NULL","5","2786"
"unworthy","8","5","772","1671"
"upcoming","8","1","9023","2422"
"upheaval","8","3","602","797"
"uppercut","8","1","1141","2159"
"upraised","8","1","96","1940"
"uprising","8","1","1006","2859"
"uprooted","8","1","216","1741"
"upstairs","8","28","2640","1492"
"upstream","8","5","1157","1653"
"upturned","8","1","159","1620"
"underlay","8","1","59","3329"
"underlie","8","2","188","3542"
"underpay","8","NULL","16","3173"
"underpin","8","NULL","41","3956"
"undersea","8","3","363","3541"
"undertow","8","1","1581","3420"
"uneasily","8","6","92","2104"
"underway","8","3","2531","3159"
"undimmed","8","1","8","2684"
"undreamt","8","1","15","2085"
"undulate","8","NULL","34","2921"
"unearned","8","2","292","2905"
"unending","8","3","322","3397"
"unerring","8","2","75","3789"
"unformed","8","1","48","2696"
"unfenced","8","2","19","2809"
"unfolded","8","4","315","2431"
"unfrozen","8","2","83","1942"
"unfurled","8","1","97","2607"
"ungainly","8","NULL","87","2526"
"unglazed","8","1","38","2120"
"unguided","8","1","68","2371"
"unheated","8","2","106","2863"
"unheeded","8","2","100","2867"
"unhinged","8","1","55","2864"
"uniforms","8","14","2674","1644"
"unifying","8","4","514","2903"
"unionize","8","NULL","38","1813"
"unitized","8","5","18","2775"
"unionist","8","NULL","514","2208"
"uniquely","8","10","1418","1548"
"universe","8","71","35314","3239"
"unknowns","8","1","369","1271"
"unlacing","8","1","6","3206"
"unlawful","8","1","1373","1337"
"turnings","8","1","34","2851"
"unlikely","8","21","12464","1806"
"unlinked","8","1","72","2758"
"unlisted","8","NULL","695","3388"
"unloaded","8","5","926","2289"
"unloader","8","NULL","10","2029"
"unlocked","8","12","816","2104"
"turncoat","8","NULL","53","1755"
"turnouts","8","2","176","1223"
"turnover","8","2","1264","1601"
"turnpike","8","15","975","926"
"tutelage","8","NULL","136","1908"
"tutorial","8","NULL","6464","2039"
"tutoring","8","2","748","3256"
"tuxedoed","8","1","4","1293"
"twenties","8","10","833","1994"
"twilight","8","4","2616","1026"
"twirling","8","5","193","2589"
"twisting","8","11","2092","3055"
"twitched","8","4","300","1674"
"twitcher","8","NULL","4","1414"
"twofaced","8","NULL","5","1298"
"twopence","8","NULL","20","1539"
"twopenny","8","NULL","20","1239"
"typecast","8","NULL","146","1224"
"typeface","8","NULL","888","932"
"typified","8","2","145","1400"
"typology","8","1","257","660"
"ubiquity","8","NULL","89","635"
"ugliness","8","7","399","2135"
"ulcerate","8","NULL","4","3163"
"ulterior","8","NULL","402","3054"
"ultimate","8","59","16369","1821"
"unafraid","8","4","103","1728"
"umbrella","8","8","1930","1208"
"unabated","8","2","208","2866"
"unamused","8","1","18","2562"
"unawares","8","NULL","97","2490"
"unbeaten","8","NULL","238","2491"
"unburden","8","NULL","26","1974"
"unburned","8","1","68","2423"
"unbiased","8","NULL","1847","2322"
"unbidden","8","1","59","1866"
"unbroken","8","7","462","1875"
"unbuckle","8","NULL","39","1371"
"unbutton","8","NULL","174","1688"
"uncaused","8","1","39","2572"
"undercut","8","2","434","3250"
"underdog","8","2","391","3213"
"uncommon","8","8","19316","2120"
"uncorked","8","2","34","2793"
"uncouple","8","NULL","32","2012"
"underage","8","NULL","532","3632"
"underarm","8","1","125","3716"
"underbid","8","NULL","23","3182"
"uncurled","8","1","34","2815"
"underact","8","NULL","0","3785"
"underfed","8","NULL","53","3877"
"trapdoor","8","1","497","1905"
"trapping","8","2","813","3484"
"trashcan","8","NULL","494","2311"
"traveled","8","22","2243","3223"
"traveler","8","8","2049","2963"
"traverse","8","5","968","3556"
"travesty","8","1","555","2938"
"treading","8","1","332","3689"
"treasure","8","4","4470","2180"
"treasury","8","40","4536","2047"
"treaties","8","4","1861","3325"
"treating","8","11","4506","4275"
"treatise","8","1","789","3011"
"treelike","8","1","11","2412"
"treetops","8","1","96","1947"
"trembled","8","5","446","2763"
"trembles","8","1","100","2571"
"trenches","8","1","556","2630"
"trespass","8","NULL","365","1967"
"trestles","8","1","30","3015"
"triangle","8","4","5436","2046"
"tribunal","8","5","2386","1803"
"tributes","8","1","236","2244"
"trickery","8","NULL","453","2704"
"tricolor","8","1","180","1955"
"tricycle","8","NULL","157","1554"
"trifling","8","2","139","3388"
"trillion","8","1","2704","2612"
"trimming","8","2","991","3163"
"Trinidad","8","1","936","2005"
"trinkets","8","1","206","2084"
"triplets","8","3","370","2429"
"tripping","8","2","1303","3187"
"tripwire","8","NULL","90","1491"
"triumphs","8","3","350","1273"
"trombone","8","NULL","709","2104"
"troopers","8","6","1309","2830"
"trophies","8","2","594","2474"
"tropical","8","11","7921","2483"
"troubled","8","31","1794","2814"
"troubles","8","22","4356","2622"
"trousers","8","7","1313","2924"
"truckers","8","1","266","2388"
"trucking","8","2","507","2916"
"truelove","8","NULL","33","1363"
"Truman's","8","3","165","1659"
"truncate","8","NULL","524","2440"
"trustees","8","25","491","2557"
"trusting","8","4","1551","3608"
"truthful","8","1","1203","1344"
"tubeless","8","NULL","51","2491"
"Tucker's","8","1","168","2568"
"tumbling","8","3","551","2875"
"tumbrels","8","1","0","1123"
"tumidity","8","NULL","0","1362"
"tunafish","8","NULL","40","1120"
"tungsten","8","4","367","2152"
"tunneled","8","1","30","2357"
"turbines","8","1","409","2804"
"turbojet","8","NULL","64","829"
"turmeric","8","NULL","248","3036"
"tomorrow","8","63","14556","1754"
"tonality","8","NULL","159","2761"
"toneless","8","1","5","3666"
"topcoats","8","1","4","1381"
"topnotch","8","1","33","695"
"toppings","8","1","209","2629"
"toppling","8","2","90","2980"
"torrents","8","2","78","2896"
"tortilla","8","NULL","294","2360"
"tortoise","8","3","2454","2123"
"tortuous","8","3","117","1718"
"tortured","8","9","2664","2828"
"tortures","8","2","479","2636"
"totaling","8","6","648","3255"
"totality","8","NULL","731","1970"
"totalled","8","3","232","2448"
"touching","8","15","5042","3088"
"toughest","8","2","938","2323"
"tourists","8","12","2629","2220"
"toweling","8","1","50","3077"
"towering","8","11","492","4070"
"Townsend","8","1","1694","1473"
"township","8","7","1147","1024"
"townsman","8","1","11","1343"
"townsmen","8","2","10","1426"
"toxicity","8","NULL","1295","1343"
"tracings","8","1","45","3684"
"tracking","8","3","8109","3715"
"traction","8","NULL","1475","3004"
"tractors","8","7","337","2311"
"trailers","8","12","1344","3562"
"trailing","8","7","2182","3911"
"training","8","156","58664","4036"
"trainman","8","1","23","2585"
"traitors","8","4","644","2319"
"tramline","8","NULL","5","3231"
"trampled","8","1","520","2952"
"tranquil","8","2","248","1988"
"transact","8","3","194","2474"
"transfer","8","38","33168","2673"
"transfix","8","NULL","7","2220"
"transmit","8","3","4922","2595"
"transoms","8","2","18","2263"
"Thomas's","8","6","146","1319"
"Thompson","8","38","10393","1359"
"thorough","8","21","4747","1542"
"thoughts","8","54","28997","1099"
"thousand","8","97","16355","1486"
"thrashed","8","3","545","2140"
"threaded","8","4","1934","2384"
"threaten","8","11","4138","2470"
"threshed","8","1","2","2642"
"thrilled","8","3","2050","2518"
"thriller","8","NULL","726","2258"
"thriving","8","4","854","2784"
"throat's","8","6","30","1370"
"throbbed","8","3","267","1628"
"throttle","8","6","4162","1239"
"throwing","8","17","9433","2557"
"thruster","8","NULL","177","2178"
"thruways","8","1","1","767"
"thudding","8","1","44","2447"
"thuggery","8","NULL","57","1796"
"thumbing","8","1","186","2424"
"thumping","8","5","359","2514"
"Thursday","8","33","14696","845"
"thwarted","8","4","345","2092"
"thyroids","8","1","11","961"
"ticklish","8","NULL","246","1741"
"tidemark","8","NULL","1","1342"
"tidiness","8","1","7","2405"
"tiebreak","8","NULL","45","878"
"tightest","8","2","151","2254"
"tightwad","8","NULL","70","846"
"timbered","8","2","18","3134"
"timeless","8","2","809","2569"
"timeworn","8","1","15","955"
"timidity","8","1","141","1349"
"timorous","8","NULL","20","1363"
"tincture","8","1","163","1594"
"tingling","8","6","601","3372"
"tinkling","8","2","62","3114"
"tinplate","8","NULL","197","2330"
"tinsmith","8","NULL","3","1659"
"tintable","8","2","0","1914"
"tireless","8","4","292","2969"
"tiresome","8","3","938","1844"
"titanium","8","2","1257","1302"
"titmouse","8","NULL","39","1054"
"toasting","8","2","229","3457"
"toboggan","8","NULL","74","963"
"toddlers","8","1","630","2553"
"together","8","267","90238","1538"
"toiletry","8","NULL","14","1701"
"toilsome","8","1","1","1105"
"tokenish","8","1","0","1579"
"tolerant","8","9","2573","3473"
"tolerate","8","4","3816","3960"
"tollgate","8","1","1","2531"
"tomahawk","8","NULL","331","1094"
"tomatoes","8","3","2088","2068"
"tomblike","8","2","2","1683"
"teletype","8","2","183","1390"
"televise","8","NULL","120","1664"
"telltale","8","NULL","191","2281"
"temerity","8","1","185","3112"
"tempered","8","1","714","3805"
"template","8","5","6294","2561"
"temporal","8","5","3170","2191"
"tempting","8","2","1261","3374"
"tenacity","8","5","339","1848"
"tendency","8","49","5954","2518"
"tendered","8","1","99","4230"
"tenderly","8","4","431","3263"
"tenement","8","2","45","2234"
"Tennyson","8","2","209","1569"
"tenpence","8","NULL","1","2170"
"tensions","8","19","1368","2059"
"tentacle","8","1","428","2090"
"terminal","8","12","24678","3082"
"terminus","8","2","362","2672"
"terraced","8","2","51","2723"
"terraces","8","7","150","2531"
"terrains","8","1","162","2829"
"terrible","8","45","12323","2112"
"terribly","8","18","6590","2001"
"terriers","8","1","1209","3040"
"terrific","8","5","3890","2243"
"tertiary","8","1","587","2393"
"testicle","8","2","254","2889"
"tethered","8","3","158","3653"
"textbook","8","4","2603","653"
"textiles","8","15","823","2265"
"textured","8","2","652","1914"
"textures","8","6","2701","1722"
"Thailand","8","4","6869","1784"
"thankful","8","6","2279","1514"
"thanking","8","3","1553","3138"
"thatches","8","1","0","2107"
"theaters","8","11","1150","3048"
"theatres","8","1","1050","2479"
"theistic","8","1","334","2480"
"Thelma's","8","1","3","1256"
"thematic","8","1","613","2270"
"Theodore","8","14","2004","1251"
"theology","8","19","2918","1058"
"theories","8","20","10403","2368"
"theorist","8","NULL","535","2141"
"theorize","8","2","240","1746"
"there'll","8","3","1275","1881"
"there're","8","NULL","537","1947"
"there've","8","NULL","191","1824"
"thespian","8","NULL","358","1687"
"thickens","8","1","224","1805"
"thickest","8","1","171","2252"
"thickets","8","2","43","1597"
"thievery","8","NULL","160","1963"
"thieving","8","4","123","2634"
"thinkers","8","6","1176","2506"
"thinking","8","145","64226","3034"
"thinness","8","1","87","2341"
"thinning","8","2","608","3160"
"thirsted","8","1","10","2635"
"thirteen","8","11","1787","2103"
"thirties","8","8","774","2379"
"synonyms","8","3","511","711"
"synopsis","8","NULL","1861","965"
"syphilis","8","NULL","312","1096"
"Syracuse","8","1","3227","989"
"systemic","8","3","877","2200"
"system's","8","3","1963","1954"
"tabloids","8","1","380","971"
"tabulate","8","1","153","2017"
"taciturn","8","NULL","25","1329"
"tactical","8","8","4216","2215"
"tactless","8","NULL","53","2503"
"tadpoles","8","1","107","1846"
"Tahitian","8","NULL","65","1832"
"tailback","8","1","24","1161"
"tailcoat","8","NULL","8","1693"
"tailgate","8","2","153","2024"
"tailored","8","9","1570","2624"
"tailspin","8","NULL","120","1846"
"tailwind","8","NULL","65","1957"
"takeoffs","8","2","125","499"
"takeover","8","2","1791","1243"
"talented","8","7","5612","3164"
"talisman","8","NULL","2421","2119"
"tallyman","8","NULL","2","2020"
"tangency","8","3","36","2350"
"tangents","8","6","217","2640"
"tangible","8","19","1527","1853"
"tangibly","8","1","42","1742"
"Tantalus","8","NULL","98","2124"
"tantrums","8","2","436","1820"
"Tanzania","8","NULL","577","1794"
"tapdance","8","1","29","1256"
"tapering","8","2","272","4368"
"tapestry","8","5","745","2016"
"tapeworm","8","NULL","196","1187"
"target's","8","1","221","2211"
"tarragon","8","NULL","127","2404"
"Tasmania","8","2","1025","1729"
"tasteful","8","2","502","2312"
"tattered","8","5","414","4256"
"tattooed","8","1","617","2211"
"taunting","8","1","557","3357"
"taxation","8","11","4192","1891"
"taxonomy","8","NULL","503","793"
"taxpayer","8","11","2245","1045"
"Taylor's","8","2","564","1314"
"teachers","8","69","12939","3147"
"teaching","8","67","21953","3558"
"teahouse","8","2","31","1708"
"teammate","8","2","544","2670"
"teamster","8","1","47","2782"
"teamwork","8","1","1217","1577"
"tearaway","8","NULL","8","2012"
"teardrop","8","1","186","1877"
"teaspoon","8","4","1546","1959"
"teenager","8","2","2432","1709"
"teething","8","1","345","2832"
"telecast","8","NULL","663","1828"
"telegram","8","8","448","1588"
"supinely","8","1","3","2024"
"supplant","8","3","172","1967"
"supplied","8","36","9140","2530"
"supplier","8","6","5912","2270"
"supplies","8","47","11511","2338"
"supports","8","15","31028","1710"
"supposed","8","65","46164","2254"
"supposes","8","1","178","2062"
"suppress","8","6","2665","2192"
"surefire","8","NULL","115","2013"
"surfaced","8","1","892","2218"
"surfaces","8","28","3964","2026"
"surgeons","8","1","874","1839"
"surgical","8","1","2457","2110"
"surmised","8","2","194","2786"
"surmises","8","2","37","2594"
"surmount","8","1","56","1877"
"surprise","8","51","17697","2124"
"surround","8","5","3286","2025"
"surveyed","8","9","955","2306"
"surveyor","8","5","374","1777"
"survival","8","32","9737","1671"
"survived","8","14","4610","2292"
"survives","8","1","1145","2100"
"survivor","8","1","1786","1603"
"suspects","8","4","2049","1993"
"suspense","8","6","1310","2323"
"sustains","8","1","341","3113"
"swallows","8","2","428","834"
"swamping","8","1","87","2444"
"swanlike","8","1","1","1315"
"swarming","8","3","169","2647"
"swastika","8","1","484","1506"
"swatches","8","3","90","1653"
"swayback","8","NULL","18","636"
"swearing","8","3","923","3081"
"sweaters","8","4","407","2637"
"sweating","8","4","1034","3252"
"Sweden's","8","3","147","1620"
"sweeping","8","13","2636","2508"
"sweetest","8","2","626","2247"
"sweetish","8","1","16","1673"
"swelling","8","11","1462","2766"
"swerving","8","2","62","2547"
"swiftest","8","1","26","1899"
"swimmers","8","2","700","1769"
"swimming","8","37","6230","2346"
"swimsuit","8","1","711","815"
"swindled","8","1","106","2206"
"swindler","8","NULL","52","1946"
"swinging","8","16","2024","2619"
"swirling","8","4","719","2685"
"switched","8","16","8736","1770"
"switches","8","26","8361","1578"
"swooping","8","3","139","2280"
"sycamore","8","NULL","176","921"
"syllabic","8","NULL","29","1391"
"syllable","8","1","1123","1403"
"syllabus","8","NULL","595","1177"
"symbolic","8","35","4969","1228"
